,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
8699,the legend of bagger vance,mattdamon brucemcgill charlizetheron willsmith joelgretsch,robertredford,competition worldwari greatdepression caddy savannah,fantasy drama,tt0146984,0.196,mattdamon brucemcgill charlizetheron willsmith joelgretschrobertredfordfantasy dramacompetition worldwari greatdepression caddy savannah
8700,traffic,michaeldouglas beniciodeltoro jacobvargas tomã¡smiliã¡n russellg.jones,stevensoderbergh,usa warondrugs drugtraffic drugdealer drugsmuggle,drama,tt0181865,0.43000000000000005,michaeldouglas beniciodeltoro jacobvargas tomã¡smiliã¡n russellg.jonesstevensoderberghdramausa warondrugs drugtraffic drugdealer drugsmuggle
8702,the family man,nicolascage tã©aleoni doncheadle saulrubinek ambervalletta,brettratner,christmas weihnachten,comedy drama romance fantasy,tt0218967,0.31500000000000006,nicolascage tã©aleoni doncheadle saulrubinek ambervallettabrettratnercomedy drama romance fantasychristmas weihnachten
8706,for the birds,ralpheggleston,ralpheggleston,bird pixaranimatedshort clique awkwardappearance,animation comedy family,tt0248808,0.8320000000000001,ralphegglestonralphegglestonanimation comedy familybird pixaranimatedshort clique awkwardappearance
8708,shanghai noon,jackiechan owenwilson lucyliu xanderberkeley rogeryuan,tomdey,princess sioux travel rescue chinese,adventure action comedy western,tt0184894,0.16399999999999998,jackiechan owenwilson lucyliu xanderberkeley rogeryuantomdeyadventure action comedy westernprincess sioux travel rescue chinese
8709,unbreakable,brucewillis samuell.jackson robinwright spencertreatclark johnpatrickamedori,m.nightshyamalan,trainaccident marriagecrisis invulnerability superhero suspense,action fantasy thriller,tt0217869,0.47100000000000003,brucewillis samuell.jackson robinwright spencertreatclark johnpatrickamedorim.nightshyamalanaction fantasy thrillertrainaccident marriagecrisis invulnerability superhero suspense
8710,space cowboys,clinteastwood tommyleejones donaldsutherland jamesgarner jamescromwell,clinteastwood,nasa spacetravel pension astronaut,action adventure thriller,tt0186566,0.227,clinteastwood tommyleejones donaldsutherland jamesgarner jamescromwellclinteastwoodaction adventure thrillernasa spacetravel pension astronaut
8712,almost famous,katehudson billycrudup francesmcdormand jasonlee patrickfugit,cameroncrowe,hotelroom sandiego drugaddiction stewardess overdose,drama music,tt0181875,0.658,katehudson billycrudup francesmcdormand jasonlee patrickfugitcameroncrowedrama musichotelroom sandiego drugaddiction stewardess overdose
8714,chocolat,juliettebinoche alfredmolina johnnydepp carrie-annemoss judidench,lassehallstrã¶m,chocolate mayor praline singles motherdaughterrelationship,comedy drama romance,tt0241303,0.41300000000000003,juliettebinoche alfredmolina johnnydepp carrie-annemoss judidenchlassehallstrã¶mcomedy drama romancechocolate mayor praline singles motherdaughterrelationship
8715,high fidelity,johncusack ibenhjejle toddlouiso jackblack lisabonet,stephenfrears,chicago musicrecord rockandroll recordstore soul,comedy drama romance music,tt0146882,0.542,johncusack ibenhjejle toddlouiso jackblack lisabonetstephenfrearscomedy drama romance musicchicago musicrecord rockandroll recordstore soul
