,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
5509,gangster squad,seanpenn ryangosling emmastone joshbrolin nicknolte,rubenfleischer,losangeles gangster,crime drama action thriller,tt1321870,0.192,seanpenn ryangosling emmastone joshbrolin nicknolterubenfleischercrime drama action thrillerlosangeles gangster
5512,stoker,miawasikowska nicolekidman matthewgoode dermotmulroney jackiweaver,chan-wookpark,mystery,drama horror thriller,tt1682180,0.259,miawasikowska nicolekidman matthewgoode dermotmulroney jackiweaverchan-wookparkdrama horror thrillermystery
5513,kill your darlings,danielradcliffe elizabetholsen michaelc.hall benfoster danedehaan,johnkrokidas,nan,drama romance thriller,tt1311071,0.42400000000000004,danielradcliffe elizabetholsen michaelc.hall benfoster danedehaanjohnkrokidasdrama romance thrillernan
5514,all is lost,robertredford,j.c.chandor,yacht sailor stormatsea unconsciousness liferaft,action adventure drama,tt2017038,0.3400000000000001,robertredfordj.c.chandoraction adventure dramayacht sailor stormatsea unconsciousness liferaft
5516,the spectacular now,milesteller shailenewoodley brielarson dayookeniyi masamholden,jamesponsoldt,alcoholism comingofage teen highschoolsenior basedonyoungadultbook,comedy drama romance,tt1714206,0.46699999999999997,milesteller shailenewoodley brielarson dayookeniyi masamholdenjamesponsoldtcomedy drama romancealcoholism comingofage teen highschoolsenior basedonyoungadultbook
5517,trance,jamesmcavoy vincentcassel rosariodawson mattcross dannysapani,dannyboyle,amnesia artthief hypnotism heistmovie duringcreditsstinger,thriller crime drama mystery,tt1924429,0.30000000000000004,jamesmcavoy vincentcassel rosariodawson mattcross dannysapanidannyboylethriller crime drama mysteryamnesia artthief hypnotism heistmovie duringcreditsstinger
5521,turbo,ryanreynolds paulgiamatti michaelpeã±a samuell.jackson luisguzmã¡n,davidsoren,underdog carrace dream speed power,animation family,tt1860353,0.223,ryanreynolds paulgiamatti michaelpeã±a samuell.jackson luisguzmã¡ndavidsorenanimation familyunderdog carrace dream speed power
5523,pain & gain,markwahlberg dwaynejohnson anthonymackie tonyshalhoub edharris,michaelbay,miami scam crime weightlifting weightlifting,thriller crime action,tt1980209,0.194,markwahlberg dwaynejohnson anthonymackie tonyshalhoub edharrismichaelbaythriller crime actionmiami scam crime weightlifting weightlifting
5528,labor day,joshbrolin katewinslet gattlingriffith tobeymaguire tomlipinski,jasonreitman,escapedconvict depressedmom,drama,tt1967545,0.381,joshbrolin katewinslet gattlingriffith tobeymaguire tomlipinskijasonreitmandramaescapedconvict depressedmom
5531,the physician,tompayne benkingsley stellanskarsgã¥rd oliviermartinez emmarigby,philippstã¶lzl,nan,adventure drama history,tt2101473,0.638,tompayne benkingsley stellanskarsgã¥rd oliviermartinez emmarigbyphilippstã¶lzladventure drama historynan
5534,the butler,forestwhitaker davidbanner michaelraineyjr. lajessiesmith mariahcarey,leedaniels,whitehouse butler biography civilrights,drama,tt1327773,0.66,forestwhitaker davidbanner michaelraineyjr. lajessiesmith mariahcareyleedanielsdramawhitehouse butler biography civilrights
5539,belle,gugumbatha-raw tomwilkinson mirandarichardson penelopewilton emilywatson,ammaasante,victorianengland trial slave blackwoman highsociety,drama,tt2404181,0.589,gugumbatha-raw tomwilkinson mirandarichardson penelopewilton emilywatsonammaasantedramavictorianengland trial slave blackwoman highsociety
5542,safe haven,juliannehough joshduhamel cobiesmulders davidlyons mikepniewski,lassehallstrã¶m,basedonnovel smalltown widower singlefather nicholassparks,romance,tt1702439,0.484,juliannehough joshduhamel cobiesmulders davidlyons mikepniewskilassehallstrã¶mromancebasedonnovel smalltown widower singlefather nicholassparks
5543,europa report,sharltocopley danielwu michaelnyqvist christiancamargo karolinawydra,sebastiã¡ncordero,jupiter spacecraft extraterrestriallifeform foundfootage spaceadventure,sciencefiction thriller,tt2051879,0.169,sharltocopley danielwu michaelnyqvist christiancamargo karolinawydrasebastiã¡ncorderosciencefiction thrillerjupiter spacecraft extraterrestriallifeform foundfootage spaceadventure
5545,bad words,jasonbateman kathrynhahn allisonjanney philipbakerhall rohanchand,jasonbateman,competition satire spellingbee estrangedfather unlikelyfriendship,comedy,tt2170299,0.21000000000000002,jasonbateman kathrynhahn allisonjanney philipbakerhall rohanchandjasonbatemancomedycompetition satire spellingbee estrangedfather unlikelyfriendship
5548,behind the candelabra,michaeldouglas mattdamon roblowe danaykroyd scottbakula,stevensoderbergh,basedonnovel celebrity basedontruestory gayrelationship gayinterest,drama romance,tt1291580,0.373,michaeldouglas mattdamon roblowe danaykroyd scottbakulastevensoderberghdrama romancebasedonnovel celebrity basedontruestory gayrelationship gayinterest
5549,cloudy with a chance of meatballs 2,billhader annafaris jamescaan willforte andysamberg,codycameron krispearn,inventor food scientist,animation family comedy,tt1985966,0.35100000000000003,billhader annafaris jamescaan willforte andysambergcodycameron krispearnanimation family comedyinventor food scientist
5550,zulu,orlandobloom forestwhitaker conradkemp ingebeckmann tinarievanwyk-loots,jã©rã´mesalle,nan,crime drama thriller,tt2249221,0.455,orlandobloom forestwhitaker conradkemp ingebeckmann tinarievanwyk-lootsjã©rã´mesallecrime drama thrillernan
5551,blue jasmine,cateblanchett alecbaldwin sallyhawkins bobbycannavale louisc.k.,woodyallen,sanfrancisco twowordtitle newyorkcity rich narcissism,comedy drama,tt2334873,0.528,cateblanchett alecbaldwin sallyhawkins bobbycannavale louisc.k.woodyallencomedy dramasanfrancisco twowordtitle newyorkcity rich narcissism
5558,side effects,rooneymara judelaw channingtatum catherinezeta-jones vinessashaw,stevensoderbergh,fraud coverup murder drug prescriptionmedication,thriller crime drama,tt2053463,0.261,rooneymara judelaw channingtatum catherinezeta-jones vinessashawstevensoderberghthriller crime dramafraud coverup murder drug prescriptionmedication
5561,la migliore offerta,geoffreyrush jimsturgess sylviahoeks donaldsutherland maximiliandirr,giuseppetornatore,painting auctioneer confidencegame fineart honeypot,drama romance crime mystery,tt1924396,0.8350000000000001,geoffreyrush jimsturgess sylviahoeks donaldsutherland maximiliandirrgiuseppetornatoredrama romance crime mysterypainting auctioneer confidencegame fineart honeypot
5563,mud,matthewmcconaughey tyesheridan jacoblofland samshepard reesewitherspoon,jeffnichols,river snake arkansas fugitive riverboat,drama,tt1935179,0.503,matthewmcconaughey tyesheridan jacoblofland samshepard reesewitherspoonjeffnicholsdramariver snake arkansas fugitive riverboat
5564,mindscape,markstrong taissafarmiga briancox indiravarma noahtaylor,jorgedorado,teenager,thriller drama,tt1715336,0.3330000000000001,markstrong taissafarmiga briancox indiravarma noahtaylorjorgedoradothriller dramateenager
5566,adore,naomiwatts robinwright xaviersamuel jamesfrecheville benmendelsohn,annefontaine,lovers womandirector,drama,tt2103267,0.203,naomiwatts robinwright xaviersamuel jamesfrecheville benmendelsohnannefontainedramalovers womandirector
5567,the railway man,jeremyirvine colinfirth stellanskarsgã¥rd michaelmackenzie nicolekidman,jonathanteplitzky,posttraumaticstressdisorder japanese worldwarii victim autobiography,drama history,tt2058107,0.375,jeremyirvine colinfirth stellanskarsgã¥rd michaelmackenzie nicolekidmanjonathanteplitzkydrama historyposttraumaticstressdisorder japanese worldwarii victim autobiography
5569,drinking buddies,oliviawilde jakejohnson annakendrick ronlivingston tiwest,joeswanberg,femalenudity,romance drama,tt2265398,0.165,oliviawilde jakejohnson annakendrick ronlivingston tiwestjoeswanbergromance dramafemalenudity
5573,puppy,pierrecoffin,yarrowcheney brunodequier,madcapcomedy,animation family,tt3405276,0.873,pierrecoffinyarrowcheney brunodequieranimation familymadcapcomedy
5574,odd thomas,antonyelchin willemdafoe nicotortorella addisontimlin melissaordway,stephensommers,smalltown supernatural horror thriller mystery,mystery thriller,tt1767354,0.363,antonyelchin willemdafoe nicotortorella addisontimlin melissaordwaystephensommersmystery thrillersmalltown supernatural horror thriller mystery
5578,the frozen ground,nicolascage vanessahudgens johncusack radhamitchell jodilyno'keefe,scottwalker,gun escape serialkiller manhunt hunting,thriller crime,tt2005374,0.199,nicolascage vanessahudgens johncusack radhamitchell jodilyno'keefescottwalkerthriller crimegun escape serialkiller manhunt hunting
5581,42,chadwickboseman t.r.knight harrisonford nicolebeharie christophermeloni,brianhelgeland,baseball biography sport brooklyndodgers,drama,tt0453562,0.474,chadwickboseman t.r.knight harrisonford nicolebeharie christophermelonibrianhelgelanddramabaseball biography sport brooklyndodgers
5584,the way way back,liamjames stevecarell tonicollette annasophiarobb samrockwell,jimrash natfaxon,shyness beach bicycle conversation friendship,comedy drama,tt1727388,0.586,liamjames stevecarell tonicollette annasophiarobb samrockwelljimrash natfaxoncomedy dramashyness beach bicycle conversation friendship
5588,the wolverine,hughjackman taookamoto rilafukushima hiroyukisanada svetlanakhodchenkova,jamesmangold,japan samurai mutant worldwari marvelcomic,action sciencefiction adventure fantasy,tt1430132,0.387,hughjackman taookamoto rilafukushima hiroyukisanada svetlanakhodchenkovajamesmangoldaction sciencefiction adventure fantasyjapan samurai mutant worldwari marvelcomic
5591,nebraska,brucedern willforte bobodenkirk junesquibb stacykeach,alexanderpayne,montana smalltown dementia aging roadtrip,drama adventure,tt1821549,0.664,brucedern willforte bobodenkirk junesquibb stacykeachalexanderpaynedrama adventuremontana smalltown dementia aging roadtrip
5592,horns,danielradcliffe junotemple kelligarner jamesremar maxminghella,alexandreaja,deathofgirlfriend horns,thriller horror drama fantasy,tt1528071,0.20400000000000001,danielradcliffe junotemple kelligarner jamesremar maxminghellaalexandreajathriller horror drama fantasydeathofgirlfriend horns
5595,the art of the steal,kurtrussell mattdillon jaybaruchel kennethwelsh chrisdiamantopoulos,jonathansobol,book brotherhood risk brother thief,comedy crime,tt2172985,0.162,kurtrussell mattdillon jaybaruchel kennethwelsh chrisdiamantopoulosjonathansobolcomedy crimebook brotherhood risk brother thief
5597,coherence,hugoarmstrong emilybaldoni nicholasbrendon elizabethgracen laurenmaher,jameswardbyrkit,comet alternatereality dinnerparty,thriller sciencefiction,tt2866360,0.579,hugoarmstrong emilybaldoni nicholasbrendon elizabethgracen laurenmaherjameswardbyrkitthriller sciencefictioncomet alternatereality dinnerparty
5601,clear history,larrydavid evamendes katehudson dannymcbride jonhamm,gregmottola,nan,comedy,tt2279864,0.161,larrydavid evamendes katehudson dannymcbride jonhammgregmottolacomedynan
5603,august: osage county,merylstreep juliaroberts chriscooper ewanmcgregor margomartindale,johnwells,suicide drugaddiction funeral dysfunctionalfamily basedonplay,comedy drama,tt1322269,0.47,merylstreep juliaroberts chriscooper ewanmcgregor margomartindalejohnwellscomedy dramasuicide drugaddiction funeral dysfunctionalfamily basedonplay
5604,frances ha,gretagerwig mickeysumner adamdriver michaelzegen michaelesper,noahbaumbach,nan,comedy drama,tt2347569,0.579,gretagerwig mickeysumner adamdriver michaelzegen michaelespernoahbaumbachcomedy dramanan
5610,romeo & juliet,douglasbooth haileesteinfeld christiancooke damianlewis nataschamcelhone,carlocarlei,shakespeareadaptation teenager middleages familyfeud starcrossedlovers,drama romance,tt1645131,0.32700000000000007,douglasbooth haileesteinfeld christiancooke damianlewis nataschamcelhonecarlocarleidrama romanceshakespeareadaptation teenager middleages familyfeud starcrossedlovers
5611,doctor who: the day of the doctor,mattsmith davidtennant christophereccleston johnhurt paulmcgann,nickhurran,timetravel alien,sciencefiction adventure,tt2779318,0.9520000000000001,mattsmith davidtennant christophereccleston johnhurt paulmcgannnickhurransciencefiction adventuretimetravel alien
5612,filth,jamesmcavoy imogenpoots jamiebell joannefroggatt eddiemarsan,jons.baird,cop english bipolar,crime drama comedy,tt1450321,0.366,jamesmcavoy imogenpoots jamiebell joannefroggatt eddiemarsanjons.bairdcrime drama comedycop english bipolar
5614,the necessary death of charlie countryman,shialabeouf evanrachelwood madsmikkelsen tilschweiger rupertgrint,fredrikbond,nan,action comedy drama romance thriller,tt1196948,0.32600000000000007,shialabeouf evanrachelwood madsmikkelsen tilschweiger rupertgrintfredrikbondaction comedy drama romance thrillernan
5615,before midnight,ethanhawke juliedelpy seamusdavey-fitzpatrick jenniferprior charlotteprior,richardlinklater,hotel airport hotelroom greece dream,romance drama,tt2209418,0.579,ethanhawke juliedelpy seamusdavey-fitzpatrick jenniferprior charlottepriorrichardlinklaterromance dramahotel airport hotelroom greece dream
5616,the kings of summer,nickrobinson gabrielbasso moisã©sarias erinmoriarty nickofferman,jordanvogt-roberts,runaway highschool comingofage teenager comingofagecomedy,comedy drama,tt2179116,0.576,nickrobinson gabrielbasso moisã©sarias erinmoriarty nickoffermanjordanvogt-robertscomedy dramarunaway highschool comingofage teenager comingofagecomedy
5626,in a world...,lakebell fredmelamed michaelawatkins kenmarino demetrimartin,lakebell,fatherdaughterrelationship voiceovernarration voiceover womandirector voiceacting,comedy,tt2294677,0.28400000000000003,lakebell fredmelamed michaelawatkins kenmarino demetrimartinlakebellcomedyfatherdaughterrelationship voiceovernarration voiceover womandirector voiceacting
5632,the pirate bay: away from keyboard,gottfridsvartholm fredrikneij petersunde,simonklose,piracy hacking courttrial,documentary,tt2608732,0.40700000000000003,gottfridsvartholm fredrikneij petersundesimonklosedocumentarypiracy hacking courttrial
5633,night train to lisbon,jeremyirons mã©lanielaurent jackhuston martinagedeck charlotterampling,billeaugust,trainstation loneliness,mystery romance thriller,tt1654523,0.279,jeremyirons mã©lanielaurent jackhuston martinagedeck charlotteramplingbilleaugustmystery romance thrillertrainstation loneliness
